Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,59,0,0,61,18.5,43.07936990462541,90.32541483239824,#2ecc71
,69,0,0,61,18.5,42.99144856553771,95.47245110482736,#2ecc71
,79,0,0,61,18.5,43.41480747345726,100.03983048956565,#2ecc71
,89,0,0,61,18.5,44.00039893631143,105.1924124497339,#2ecc71
,99,0,0,61,18.5,44.606034347796864,109.39731804723635,#2ecc71
,109,0,0,61,18.5,44.817385527539635,113.34914104288751,#2ecc71
,119,0,0,61,18.5,46.302593316207194,117.32511440403948,#2ecc71
,129,0,0,61,18.5,46.84210662118253,121.20265943639934,#2ecc71
,139,0,0,61,18.5,47.84075009798161,125.1998426673677,#2ecc71
,149,0,0,61,18.5,48.787959912284606,128.52911085788816,#2ecc71
,159,0,0,61,18.5,50.35033296153323,132.2349183912494,#2ecc71
,169,0,0,61,18.5,50.32776951950489,134.64896980471656,#2ecc71
,179,0,0,61,18.5,51.91232079059178,137.0900422745205,#2ecc71
,189,0,0,61,18.5,50.572174437948505,134.16146871569921,#2ecc71
,199,0,0,61,18.5,48.87539132686213,129.7721068163512,#2ecc71
,2,0,0,71,18.5,49.518366091352874,68.37998236054948,#e74c3c
,11,0,0,71,18.5,48.03217665811119,74.85318733799228,#e74c3c
,22,0,0,71,18.5,46.90111263114843,81.2727549570545,#e74c3c
,32,0,0,71,18.5,45.952368388619966,86.92347897370911,#e74c3c
,41,0,0,71,18.5,45.460591628670805,92.77529459587083,#e74c3c
,51,0,0,71,18.5,45.615597667139944,98.38744181797013,#e74c3c
,61,0,0,71,18.5,45.30693126276775,103.64974766474948,#e74c3c
,71,0,0,71,18.5,45.40570726584361,108.88037841738047,#e74c3c
,82,0,0,71,18.5,46.26000184801307,114.11858388730174,#e74c3c
,91,0,0,71,18.5,46.29279550008928,118.28369140164241,#e74c3c
,101,0,0,71,18.5,47.359128902569324,122.90740433289476,#e74c3c
,111,0,0,71,18.5,47.57754865677945,126.9070227711839,#e74c3c
,121,0,0,71,18.5,49.2471303805035,130.8279026865572,#e74c3c
,131,0,0,71,18.5,49.903719385010795,135.11605122077307,#e74c3c
,141,0,0,71,18.5,50.49117692206045,138.5011871515257,#e74c3c
,151,0,0,71,18.5,52.06193671286291,141.69344938598104,#e74c3c
,161,0,0,71,18.5,53.06043245363309,145.74059778469376,#e74c3c
,171,0,0,71,18.5,54.61016480476978,148.36001160030594,#e74c3c
,181,0,0,71,18.5,55.18339567669939,148.6822489816939,#e74c3c
,191,0,0,71,18.5,54.11965400260007,146.1097883527821,#e74c3c
,201,0,0,71,18.5,51.835782153178464,141.66507298192238,#e74c3c
,-1,0,0,81,18.5,52.23918530400815,77.8095794001364,#3498db
,10,0,0,81,18.5,50.240117008916044,84.827815598449,#3498db
,20,0,0,81,18.5,49.367418324247026,91.5038571090632,#3498db
,30,0,0,81,18.5,48.43667967027299,97.84186182451394,#3498db
,40,0,0,81,18.5,48.12477622972005,104.04337628465035,#3498db
,50,0,0,81,18.5,47.836263872660446,109.09917391799853,#3498db
,60,0,0,81,18.5,47.88883831482268,114.93536975177668,#3498db
,70,0,0,81,18.5,48.106443870551345,120.17560283053801,#3498db
